YEAR,protected_status,richness,simpson,shannon
1999,0,17,5.758153737794095,6.986699899288012
2000,0,26,5.836510517528838,7.147019098311844
2001,0,25,1.865059798127925,2.995649736578409
2002,0,26,4.163218428684153,5.242770264459297
2003,0,22,4.209843776176543,5.370915538496606
2004,0,24,3.9751842082979083,5.48276361175971
2005,0,29,2.472805131767332,3.913432405371911
2006,0,32,1.8347272974451658,3.0231824125636244
2007,0,34,2.5717552673788178,4.353083894150842
2008,0,29,3.951974731871561,5.8192618374239435
2009,0,30,2.3202095357273875,3.8763386122427663
2010,0,31,1.7301954583118746,2.9130810089290122
2011,0,35,1.9440922504829858,3.3013823494779806
2012,0,34,1.7349617677709395,2.8121437178329662
2014,0,32,2.1289530082708343,3.4297176753730114
2016,0,30,1.9946740694779843,3.2153101898801077
1999,1,19,5.818627495772556,6.997619576172659
2000,1,16,6.1485912692390645,7.377777179633953
2001,1,21,2.5397179023532255,4.161698894981311
2002,1,20,5.583794003545114,6.946005871836113
2003,1,24,3.4534563821101965,4.979166732588122
2004,1,19,3.5118535717726984,4.867311638631194
2005,1,23,3.781817302906773,5.6770460102627105
2006,1,30,2.493130375628754,4.143117185391474
2007,1,31,3.572389319803095,5.877185931312258
2008,1,21,5.005778781182121,6.972465644240733
2009,1,25,4.2886633332011135,6.399137037295982
2010,1,27,3.420266378531393,5.433746452454871
2011,1,28,2.1853466338380763,3.680255047035153
2012,1,30,1.8626562459822136,3.123697236450722
2014,1,25,2.476985590211865,4.006450244602772
2016,1,26,2.1814598711220934,3.6630722067042654
1999,all,20,5.854010290342756,7.0717397772676405
2000,all,26,5.862406429574293,7.191133112043898
2001,all,28,1.89176339850092,3.054157157771955
2002,all,27,4.277891575517216,5.496715082678575
2003,all,27,4.178830984199459,5.409383885566429
2004,all,26,3.955263838911494,5.464034717859875
2005,all,31,2.5182115901122293,4.0035483876698175
2006,all,37,1.8587093731184348,3.0730046026053177
2007,all,38,2.6045880682796687,4.417158937616835
2008,all,30,3.9993091848801146,5.893765198986943
2009,all,31,2.3532611874836995,3.9350641402831252
2010,all,33,1.7648263097575645,2.9887109976560975
2011,all,36,1.9542390938818617,3.3202709508873447
2012,all,37,1.741109417023364,2.829085974943433
2014,all,33,2.145538441546967,3.4625791569981725
2016,all,33,2.003096133029674,3.2384769798395303
