YEAR,protected_status,richness,shannon,simpson
1999,0,10,4.247621080262215,3.290411090570847
2000,0,10,4.36720864559282,3.4068115538277555
2001,0,9,4.858380015356672,4.001633364611483
2002,0,10,4.78344656173205,3.58683441926963
2003,0,10,3.9351979056327893,3.2048224536302756
2004,0,7,3.988614733243571,3.4486757720743366
2005,0,7,5.381332111620109,4.520382106055432
2006,0,8,4.143757368026557,3.111221527630155
2007,0,10,4.00472138782602,2.8816229961913975
2008,0,10,3.330373807576836,2.26505519332761
2009,0,10,4.158567848487516,2.9756804361570746
2010,0,10,3.912030591614958,2.7900274658704953
2011,0,10,3.927307868410319,2.8676180013390917
2012,0,9,3.7543980346003285,2.776488718538848
2014,0,9,2.1053111415880488,1.4885860865775962
2016,0,8,2.129889450866324,1.5329448076318657
1999,1,7,3.0314353617104417,2.584057499280336
2000,1,11,4.459998209503677,3.46342986203486
2001,1,11,4.934005232062851,3.8530291338442773
2002,1,11,4.735984587963341,3.7842260214628816
2003,1,10,4.663289375782076,3.506243255004506
2004,1,10,5.323016974082777,4.590171406185963
2005,1,9,4.925592824916993,4.112000047490711
2006,1,9,5.068349425766737,3.646106390750266
2007,1,7,4.0226338309882985,3.433129769799572
2008,1,9,4.146706058131841,3.2790783952886606
2009,1,9,4.075235677328856,3.250945196118806
2010,1,8,3.7452837880995045,2.999767882692642
2011,1,9,4.444034683624849,3.4932082152721975
2012,1,8,3.3699980604205946,2.730543183696604
2014,1,9,2.865102232762605,2.0385512866728344
2016,1,8,2.687349174868726,1.9116108555453404
1999,all,11,4.238949409183625,3.299219831680912
2000,all,11,4.439041964696578,3.480238460199395
2001,all,11,4.891528843189391,4.007693572390234
2002,all,11,4.816036633832973,3.637356273537945
2003,all,11,4.621434559817858,3.750678718722746
2004,all,10,4.281036197507257,3.5998916403701946
2005,all,9,5.378490058322389,4.509080585035214
2006,all,9,4.245209499549925,3.1557657498859433
2007,all,10,4.02630561482741,2.9167873364599766
2008,all,11,3.3732423401086926,2.2990800367092965
2009,all,10,4.163345914028931,2.987136234789208
2010,all,10,3.917267289487027,2.801570577860334
2011,all,11,3.962399340997426,2.898513763644734
2012,all,9,3.746700799026132,2.77882813524807
2014,all,10,2.1521103465944735,1.511859225391669
2016,all,9,2.167407469747514,1.5527821799764776
